MN_CRE106,MN_CRE111,MN_CRE112,MN_CRE11,MN_CRE124,MN_CRE127,MN_CRE128,MN_CRE129,MN_CRE12,MN_CRE131,MN_CRE132,MN_CRE133,MN_CRE134,MN_CRE137,MN_CRE138,MN_CRE142,MN_CRE143,MN_CRE144,MN_CRE145,MN_CRE146,MN_CRE147,MN_CRE150,MN_CRE151,MN_CRE153,MN_CRE156,MN_CRE157,MN_CRE158,MN_CRE159,MN_CRE15,MN_CRE161,MN_CRE162,MN_CRE163,MN_CRE169,MN_CRE174,MN_CRE178,MN_CRE179,MN_CRE184,MN_CRE188,MN_CRE189,MN_CRE18,MN_CRE190,MN_CRE196,MN_CRE197,MN_CRE198,MN_CRE19,MN_CRE203,MN_CRE204,MN_CRE205,MN_CRE207,MN_CRE209,MN_CRE20,MN_CRE210,MN_CRE214,MN_CRE215,MN_CRE216,MN_CRE219,MN_CRE220,MN_CRE221,MN_CRE222,MN_CRE223,MN_CRE225,MN_CRE226,MN_CRE227,MN_CRE229,MN_CRE22,MN_CRE230,MN_CRE232,MN_CRE235,MN_CRE236,MN_CRE237,MN_CRE238,MN_CRE23,MN_CRE240,MN_CRE241,MN_CRE243,MN_CRE248,MN_CRE249,MN_CRE250,MN_CRE30,MN_CRE31,MN_CRE36,MN_CRE39,MN_CRE3,MN_CRE40,MN_CRE41,MN_CRE42,MN_CRE47,MN_CRE4,MN_CRE50,MN_CRE60,MN_CRE63,MN_CRE67,MN_CRE6,MN_CRE73,MN_CRE76,MN_CRE77,MN_CRE78,MN_CRE81,MN_CRE82,MN_CRE83,MN_CRE94,MN_CRE97,TN_CRE104,TN_CRE106,TN_CRE10,TN_CRE110,TN_CRE111,TN_CRE112,TN_CRE113,TN_CRE114,TN_CRE117,TN_CRE121,TN_CRE125,TN_CRE126,TN_CRE12,TN_CRE131,TN_CRE134,TN_CRE136,TN_CRE142,TN_CRE144,TN_CRE145,TN_CRE148,TN_CRE150,TN_CRE153,TN_CRE155,TN_CRE21,TN_CRE24,TN_CRE25,TN_CRE29,TN_CRE37,TN_CRE39,TN_CRE3,TN_CRE40,TN_CRE41,TN_CRE42,TN_CRE44,TN_CRE50,TN_CRE51,TN_CRE53,TN_CRE56,TN_CRE58,TN_CRE59,TN_CRE64,TN_CRE66,TN_CRE70,TN_CRE72,TN_CRE74,TN_CRE76,TN_CRE77,TN_CRE79,TN_CRE7,TN_CRE82,TN_CRE85,TN_CRE86,TN_CRE88,TN_CRE89,TN_CRE94,TN_CRE95,TN_CRE99
18562,18663,18563,11,18242,18567,18524,18560,18556,3,0,18526,18560,18566,2,4,65131,18552,18558,18551,18483,18560,18556,18237,18567,18557,18565,18573,18561,16,18540,27,18556,18572,18567,18576,18552,18558,75577,18559,119509,18558,18563,18399,18531,18536,18560,18559,18562,14,18563,11,18561,18543,18543,18564,18562,18561,18148,36,18144,18012,38,18567,18556,18524,18564,18558,18555,18564,18506,18566,121390,18557,18556,18565,18556,18556,18542,18518,18556,18555,18556,18647,18635,18510,18540,18556,75598,18576,18563,18573,5,18550,18550,18561,18563,18555,18564,18555,18560,18570,437,59850,65220,19042,77709,19068,64599,549,112954,73475,438,18551,18546,72425,436,60134,19019,18553,76726,444,18226,429,441,436,76045,436,18534,74380,116779,63790,59611,116428,429,18556,435,434,65117,434,59263,19036,77371,59785,473,433,64629,59854,65247,53,18535,77627,59883,73178,59915,73440,59699,18564,65197
20,140,26,18539,27,32,5,17,17,18505,18526,0,19,28,18500,18450,63673,27,16,12,28,25,16,24,38,14,23,33,20,18267,56,18343,14,35,14,40,27,16,73428,16,117199,20,22,20,20,21,17,16,19,18370,20,18410,18,61,62,22,19,20,17422,18423,17507,17150,18204,33,16,12,21,17,12,23,17,24,118436,15,13,26,15,13,27,25,14,12,15,133,130,25,27,13,73463,40,23,38,18493,19,25,22,27,14,25,14,18,31,18195,58610,63717,17839,75579,17942,62934,18223,110202,71571,17969,82,68,70370,18292,58969,17795,61,74602,18068,386,18079,18202,18172,73892,17886,70,72372,113607,62143,58364,113646,18011,75,18080,18087,63568,18109,57928,17839,75452,58544,18328,18168,63051,58618,63652,18420,66,75788,58688,71232,58705,71504,58460,83,63679
11,131,17,18574,22,27,16,12,12,18538,18560,19,0,19,18533,18484,63676,22,11,7,23,16,11,15,33,9,18,28,15,18300,51,18375,9,30,25,35,23,11,73610,11,117431,15,17,15,15,17,12,11,14,18403,15,18441,13,57,59,17,14,15,17457,18457,17542,17185,18237,28,11,23,16,10,7,18,18,19,118649,6,8,21,10,8,22,21,9,7,10,128,125,21,23,8,73651,35,18,33,18527,14,20,17,23,9,20,9,9,26,18229,58656,63720,17881,75760,17985,62936,18258,110391,71760,18003,77,63,70557,18327,59015,17836,57,74783,18102,382,18114,18235,18207,74065,17919,65,72568,113812,62146,58410,113848,18043,70,18114,18121,63570,18144,57974,17880,75626,58590,18361,18202,63054,58664,63654,18453,61,75961,58734,71419,58751,71694,58506,76,63681
16,136,2,18580,31,35,25,21,22,18544,18566,28,19,0,18540,18490,63681,31,20,14,32,19,20,19,40,16,27,35,22,18306,58,18381,18,37,34,42,32,20,73617,20,117436,24,27,22,24,26,21,20,23,18409,24,18447,22,62,62,26,23,22,17464,18463,17550,17191,18243,35,21,32,25,22,16,27,26,28,118654,15,17,30,19,17,29,30,18,16,19,136,134,31,32,17,73658,43,24,42,18533,23,28,26,30,18,29,18,14,33,18235,58660,63725,17887,75767,17992,62941,18264,110398,71766,18009,84,70,70563,18333,59019,17843,65,74790,18108,389,18120,18243,18213,74072,17925,71,72576,113818,62151,58414,113854,18049,78,18120,18127,63575,18150,57978,17888,75633,58594,18367,18208,63059,58668,63658,18459,68,75968,58738,71425,58755,71700,58510,85,63686
18535,18636,18535,11,18213,18540,18498,18533,18529,5,2,18500,18533,18540,0,3,65117,18524,18531,18522,18456,18533,18530,18209,18543,18530,18536,18546,18534,17,18512,26,18530,18544,18541,18549,18525,18531,75559,18532,119493,18531,18536,18373,18503,18509,18533,18532,18536,15,18537,12,18534,18516,18517,18537,18534,18535,18140,36,18134,18003,40,18540,18529,18500,18537,18531,18528,18538,18479,18539,121381,18530,18529,18538,18529,18529,18516,18492,18529,18528,18529,18611,18601,18483,18515,18530,75581,18551,18536,18550,5,18524,18524,18532,18536,18529,18537,18529,18533,18543,431,59846,65207,18996,77701,19024,64589,542,112936,73455,431,18528,18519,72403,427,60129,18977,18526,76709,435,18198,427,436,431,76033,431,18509,74356,116775,63779,59606,116410,425,18532,426,428,65104,427,59252,19019,77359,59780,459,426,64616,59847,65236,54,18510,77613,59879,73157,59909,73420,59695,18537,65189
18486,18588,18488,6,18167,18492,18448,18484,18480,4,4,18450,18484,18490,3,0,65112,18476,18482,18475,18410,18485,18481,18165,18494,18481,18489,18497,18485,13,18464,19,18481,18497,18491,18500,18476,18482,75558,18483,119480,18482,18487,18324,18454,18460,18484,18483,18485,11,18487,7,18485,18467,18467,18488,18486,18485,18114,36,18111,17975,33,18492,18481,18450,18488,18482,18479,18488,18430,18490,121364,18481,18480,18489,18480,18480,18468,18444,18480,18479,18480,18571,18562,18434,18469,18480,75560,18504,18487,18500,2,18478,18476,18485,18487,18480,18488,18479,18484,18494,425,59838,65199,19008,77684,19037,64583,537,112924,73450,426,18484,18476,72400,424,60124,18988,18477,76700,428,18151,421,424,420,76027,421,18465,74354,116754,63768,59598,116407,422,18483,422,422,65097,421,59244,19001,77350,59774,461,421,64608,59840,65232,47,18467,77599,59874,73155,59903,73416,59688,18488,65182
63679,63757,63679,65138,62237,63707,63671,63678,63672,65112,65131,63673,63676,63681,65117,65112,0,63664,63674,63673,63326,63650,63672,62703,63708,63667,63677,63692,63675,65061,63664,65083,63675,63701,63687,63691,63594,63675,18923,63677,101116,63666,63680,63240,63667,63468,63677,63677,63677,65111,63681,65107,63679,63671,63672,63682,63680,63679,63378,65124,63415,63303,65028,63687,63675,63677,63681,63676,63673,63679,63474,63705,101604,63673,63673,63706,63675,63674,63701,63467,63674,63673,63674,63739,63730,63396,63583,63673,19752,63716,63702,63710,65112,63676,63685,63702,63708,63672,63704,63671,63676,63710,65021,1700,76,64198,19821,64200,84,65067,94831,18994,64951,63709,63702,18879,65029,1700,64180,63698,19680,64976,63287,64984,64997,65009,20898,64921,63685,20226,98593,88,1703,98928,64937,63700,64974,64981,1101,65006,1708,64153,21128,1714,65037,65032,84,1704,1091,65106,63671,21159,1705,18969,1705,18996,1707,63707,1091
23,143,29,18565,24,15,24,20,20,18530,18552,27,22,31,18524,18476,63664,0,19,15,23,28,19,27,33,16,26,16,22,18293,51,18369,17,18,32,43,23,19,73639,19,117401,22,25,21,23,24,20,19,21,18408,23,18434,21,58,58,25,22,22,17453,18462,17537,17181,18242,34,19,30,24,20,15,26,26,20,118655,18,17,21,18,16,22,20,17,15,19,134,131,21,23,17,73684,35,11,33,18519,21,20,17,15,17,20,17,21,27,18220,58661,63728,17875,75760,17979,62966,18258,110388,71760,17995,77,63,70551,18319,59014,17834,58,74665,18094,382,18105,18228,18198,74025,17910,64,72596,113634,62139,58415,113868,18047,70,18105,18112,63561,18135,57982,17877,75587,58594,18355,18209,63047,58656,63682,18457,60,75922,58737,71412,58736,71686,58511,77,63673
12,132,18,18571,21,24,13,9,9,18536,18558,16,11,20,18531,18482,63674,19,0,4,20,17,8,16,30,6,12,25,10,18298,48,18373,6,27,22,32,20,8,73607,8,117425,12,14,12,12,14,9,8,11,18401,12,18439,10,54,56,14,11,12,17456,18455,17541,17184,18235,23,8,20,13,9,4,15,15,16,118638,7,5,18,7,5,19,18,6,4,7,124,122,18,20,5,73649,31,14,30,18525,11,16,14,20,6,17,6,10,23,18227,58654,63718,17879,75758,17983,62934,18256,110391,71758,18001,74,60,70555,18325,59013,17834,54,74781,18100,379,18112,18235,18205,74063,17917,61,72568,113810,62144,58408,113846,18041,67,18112,18119,63568,18142,57972,17880,75624,58588,18359,18200,63052,58662,63652,18451,58,75959,58732,71417,58749,71692,58504,75,63679
8,126,12,18565,16,20,9,5,5,18531,18551,12,7,14,18522,18475,63673,15,4,0,15,13,4,12,26,0,10,21,8,18295,44,18368,2,23,18,28,16,4,73512,4,117415,8,10,8,8,10,5,4,7,18394,8,18432,6,50,50,10,7,8,17453,18451,17535,17180,18231,21,4,16,9,5,0,11,11,12,118633,3,1,14,3,1,15,14,2,0,3,119,116,14,15,1,73644,27,10,26,18518,7,11,10,16,2,13,2,6,19,18222,58653,63717,17865,75756,17963,62933,18251,110313,71754,17996,70,56,70552,18320,59012,17817,50,74782,18095,375,18107,18230,18200,74061,17912,57,72566,113808,62143,58407,113835,18036,63,18107,18114,63567,18137,57971,17862,75622,58587,18352,18195,63051,58661,63650,18444,54,75957,58731,71414,58748,71692,58503,71,63678
24,144,30,18496,26,27,25,21,21,18461,18483,28,23,32,18456,18410,63326,23,20,15,0,28,20,27,34,17,26,28,21,18232,50,18304,18,30,33,42,24,20,73301,20,116812,23,26,22,23,25,21,20,22,18328,24,18367,21,57,59,25,22,22,17382,18380,17467,17115,18165,33,20,31,25,21,16,26,27,20,118032,19,18,22,19,17,23,22,18,16,20,133,131,22,24,18,73345,34,17,33,18453,22,20,18,23,18,21,18,22,28,18153,58303,63369,17799,75399,17900,62599,18183,109782,71412,17932,77,63,70214,18250,58663,17756,57,74445,18032,380,18042,18166,18134,73691,17851,64,72314,113282,61806,58055,113269,17972,69,18044,18051,63228,18072,57634,17798,75236,58235,18286,18129,62703,58309,63300,18376,61,75571,58379,71063,58396,71348,58152,78,63331
13,132,17,18573,29,33,22,18,18,18541,18560,25,16,19,18533,18485,63650,28,17,13,28,0,17,1,39,15,23,34,21,18304,57,18376,15,36,31,41,28,17,73511,17,117362,21,23,20,21,23,18,17,20,18404,21,18441,19,63,65,23,20,21,17460,18463,17530,17189,18239,34,17,29,22,16,13,24,23,25,118607,12,14,27,16,14,28,27,15,13,16,132,129,27,28,14,73643,40,23,39,18528,20,24,23,29,15,26,15,7,32,18217,58627,63694,17873,75747,17971,62927,18257,110277,71749,17991,83,69,70539,18317,58983,17822,63,74775,18090,386,18101,18222,18195,74022,17906,70,72558,113724,62124,58381,113837,18047,76,18101,18108,63539,18131,57948,17868,75582,58560,18360,18197,63031,58622,63640,18455,67,75917,58703,71401,58705,71679,58478,82,63656
12,132,18,18568,20,24,13,9,9,18534,18556,16,11,20,18530,18481,63672,19,8,4,20,17,0,15,30,6,15,25,12,18297,48,18372,6,27,22,32,20,6,73605,8,117405,12,14,12,10,14,9,8,9,18400,10,18438,8,54,56,12,9,10,17456,18453,17516,17185,18233,25,8,20,11,7,4,15,14,16,118633,7,5,18,7,5,19,18,6,4,7,124,122,18,20,5,73650,31,14,30,18522,11,16,14,20,4,17,4,10,23,18196,58653,63718,17856,75708,17960,62935,18254,110380,71757,17987,74,60,70552,18294,59008,17814,54,74776,18070,379,18088,18202,18174,74033,17897,61,72565,113775,62142,58407,113817,18038,67,18088,18105,63564,18112,57971,17855,75585,58587,18335,18191,63050,58649,63648,18433,58,75890,58728,71414,58730,71688,58502,73,63672
13,131,17,18246,29,32,21,17,17,18220,18237,24,15,19,18209,18165,62703,27,16,12,27,1,15,0,38,14,23,33,19,17993,55,18056,14,35,30,40,28,15,72348,16,115118,20,22,19,20,22,17,16,19,18087,20,18122,18,62,64,22,19,20,17065,18140,17128,16801,17921,33,16,27,21,15,12,23,23,23,116397,11,13,26,15,13,27,26,14,12,15,131,128,26,27,13,72489,39,22,38,18206,19,23,22,28,14,25,14,7,31,17892,57683,62749,17522,74388,17601,61988,17934,108063,70740,17675,82,67,69537,17989,58037,17450,62,73362,17767,376,17779,17897,17868,72692,17586,68,71401,111516,61192,57441,111553,17731,75,17779,17793,62587,17804,57013,17500,74239,57620,18029,17877,62087,57681,62691,18123,65,74553,57762,70386,57761,70669,57537,81,62707
34,154,38,18579,37,38,35,31,31,18545,18567,38,33,40,18543,18494,63708,33,30,26,34,39,30,38,0,28,36,39,33,18314,61,18389,28,41,43,52,34,29,73631,30,117445,33,36,33,34,35,31,30,32,18411,34,18449,32,68,70,36,33,31,17472,18468,17557,17199,18250,45,30,41,35,31,26,37,37,31,118663,29,28,30,29,27,17,32,28,26,30,144,142,33,34,28,73675,45,29,44,18534,32,30,26,34,28,29,28,32,20,18241,58688,63750,17892,75786,17996,62971,18271,110427,71759,18016,88,74,70557,18340,59045,17848,69,74784,18115,393,18126,18248,18219,74067,17932,75,72595,113820,62181,58442,113881,18056,81,18126,18134,63603,18156,58006,17892,75626,58622,18373,18215,63088,58693,63688,18464,72,75959,58764,71418,58781,71694,58538,88,63715
10,128,14,18571,19,22,11,7,7,18535,18557,14,9,16,18530,18481,63667,16,6,0,17,15,6,14,28,0,12,23,10,18297,46,18372,4,25,20,30,18,6,73501,6,117429,10,12,10,10,12,7,6,9,18400,10,18438,8,52,54,12,9,10,17456,18454,17540,17183,18234,23,6,18,11,7,2,13,13,14,118641,5,3,16,5,3,17,16,4,2,5,121,118,16,17,3,73636,29,12,28,18524,9,13,12,18,4,15,4,8,21,18226,58655,63718,17866,75757,17969,62935,18255,110316,71756,18000,72,58,70553,18324,59008,17821,52,74774,18099,377,18111,18234,18204,74063,17916,59,72567,113809,62145,58409,113834,18040,65,18111,18118,63568,18141,57973,17865,75624,58585,18358,18199,63053,58660,63652,18450,56,75954,58732,71415,58749,71688,58505,73,63680
19,138,24,18579,27,30,20,16,16,18543,18565,23,18,27,18536,18489,63677,26,12,10,26,23,15,23,36,12,0,32,17,18305,55,18380,12,33,28,27,27,15,73612,15,117430,19,21,19,19,21,16,15,17,18408,19,18446,17,61,61,20,17,18,17463,18462,17546,17191,18242,29,15,26,19,14,11,22,22,23,118647,14,12,25,14,12,25,24,12,11,14,130,128,24,26,12,73650,37,20,36,18532,17,22,20,27,13,24,13,17,29,18234,58657,63721,17883,75762,17987,62937,18263,110395,71761,18008,80,66,70558,18330,59016,17838,60,74785,18107,385,18119,18240,18212,74067,17923,67,72571,113813,62147,58411,113849,18048,73,18119,18126,63571,18149,57975,17882,75628,58591,18364,18207,63055,58665,63655,18456,64,75963,58735,71420,58752,71695,58507,79,63682
29,147,33,18584,31,19,30,26,26,18554,18573,33,28,35,18546,18497,63692,16,25,21,28,34,25,33,39,23,32,0,28,18317,57,18389,23,10,38,49,29,25,73524,25,117395,28,31,27,29,30,26,25,27,18416,29,18455,27,65,67,31,28,28,17469,18474,17554,17196,18250,40,25,36,30,27,21,32,32,26,118606,24,23,27,24,22,28,27,23,21,25,139,135,28,28,23,73666,41,17,39,18539,27,25,23,21,23,26,23,27,33,18239,58668,63734,17883,75769,17981,62950,18269,110290,71749,18014,83,69,70546,18344,59024,17835,64,74771,18114,390,18125,18248,18218,74050,17930,71,72582,113753,62160,58422,113800,18054,76,18125,18132,63582,18155,57986,17882,75614,58602,18374,18213,63067,58676,63669,18466,67,75947,58744,71410,58761,71689,58518,84,63694
